Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
1583;¿Cómo se define una función?;Iniciació a la Programació;Facil;Teoria;Variable;Bloque reutilizable que realiza una tarea;Bucle;Array;B
1584;¿Cómo se define la recursión?;Iniciació a la Programació;Facil;Teoria;Herencia;Iteración;Función que se llama a sí misma;Polimorfismo;C
1585;¿Qué es un algoritmo?;Iniciació a la Programació;Facil;Teoria;Código;Secuencia finita de pasos para resolver un problema;Función;Programa;B
1586;¿Qué es el valor de retorno?;Iniciació a la Programació;Facil;Teoria;La entrada;El parámetro;El bucle;El resultado que devuelve una función;D
1587;¿Qué es una variable?;Iniciació a la Programació;Facil;Teoria;Función;Contenedor con nombre para un valor;Constante;Clase;B
1588;¿Cómo se define una variable?;Iniciació a la Programació;Media;Teoria;Función;Constante;Contenedor con nombre para un valor;Clase;C
1589;¿Cómo se define un bucle for?;Iniciació a la Programació;Media;Teoria;Condicional;Clase;Iteración sobre secuencia o rango;Función;C
1590;¿Cómo se define la recursión?;Iniciació a la Programació;Media;Teoria;Función que se llama a sí misma;Iteración;Polimorfismo;Herencia;A
1591;¿Cómo se define un condicional if?;Iniciació a la Programació;Media;Teoria;Función;Ejecuta código si condición es verdadera;Asignación;Bucle;B
1592;¿Cómo se define un condicional if?;Iniciació a la Programació;Media;Teoria;Asignación;Bucle;Función;Ejecuta código si condición es verdadera;D
1593;¿Qué es el patrón MapReduce?;Iniciació a la Programació;Media;Teoria;Fork-Join;Pipeline;Ninguna de las anteriores;Map (transformar) y Reduce (combinar);D
1594;¿Qué es el esquema implícito?;Iniciació a la Programació;Media;Teoria;Explícito;Requiere resolver sistema en cada paso temporal;Ninguna de las anteriores;Crank-Nicolson;B
1595;¿Qué es el pipeline de reducción?;Iniciació a la Programació;Media;Teoria;Análisis;Secuencia de pasos para procesar datos crudos;Observación;Calibración;B
1596;¿Qué es el shebang en un script?;Iniciació a la Programació;Media;Teoria;Un comando;La primera línea que indica el intérprete;Un comentario;Una variable;B
1597;¿Qué es un pipe en la terminal?;Iniciació a la Programació;Media;Teoria;Conectar salida de un comando con entrada de otro;Un archivo;Una redirección;Un script;A
1598;¿Qué hace el comando chmod?;Iniciació a la Programació;Media;Teoria;Cambiar dueño;Crear;Cambiar permisos de archivos;Mover;C
1599;¿Qué estructura usa LIFO?;Iniciació a la Programació;Media;Teoria;Cola;Lista;Pila;Árbol;C
1600;¿Cómo se define el operador módulo %?;Iniciació a la Programació;Dificil;Teoria;Potencia;Resto de la división entera;División;Multiplicación;B
1601;¿Cómo se define un parámetro de función?;Iniciació a la Programació;Dificil;Teoria;Variable global;Variable de entrada de una función;Valor de retorno;Constante;B
1602;¿Cómo se define el operador módulo %?;Iniciació a la Programació;Dificil;Teoria;División;Potencia;Resto de la división entera;Multiplicación;C
1603;En recursión de cola, ¿qué ventaja tiene?;Iniciació a la Programació;Dificil;Teoria;Es más rápida;Evita overflow;Usa menos memoria;Puede optimizarse a iteración;D
1604;¿Qué estructura usa LIFO? (variante);Iniciació a la Programació;Dificil;Teoria;Cola;Pila;Lista;Árbol;B
1605;En recursión de cola, ¿qué ventaja tiene? (variante);Iniciació a la Programació;Dificil;Teoria;Puede optimizarse a iteración;Es más rápida;Evita overflow;Usa menos memoria;A
1606;¿Qué es la complejidad espacial de un algoritmo?;Iniciació a la Programació;Dificil;Teoria;Número de operaciones;Tiempo de ejecución;Memoria auxiliar que utiliza;Tamaño de entrada;C
1607;¿Qué estructura usa LIFO? (variante);Iniciació a la Programació;Dificil;Teoria;Árbol;Cola;Lista;Pila;D
1608;En recursión de cola, ¿qué ventaja tiene? (variante);Iniciació a la Programació;Dificil;Teoria;Evita overflow;Puede optimizarse a iteración;Es más rápida;Usa menos memoria;B
1609;¿Qué es la complejidad espacial de un algoritmo? (variante);Iniciació a la Programació;Dificil;Teoria;Número de operaciones;Tiempo de ejecución;Tamaño de entrada;Memoria auxiliar que utiliza;D
1610;¿Qué estructura usa LIFO?;Iniciació a la Programació;Dificil;Teoria;Cola;Lista;Pila;Árbol;C
1611;¿Cuál es la complejidad de buscar en un árbol binario de búsqueda balanceado?;Iniciació a la Programació;Dificil;Teoria;O(n);O(n²);O(1);O(log n);D
1612;¿Qué comando crea un archivo vacío?;Iniciació a la Programació;Facil;Calculo;mkfile;new;touch;create;C
1613;¿Cuál es la solución de dy/dx=0?;Iniciació a la Programació;Facil;Calculo;y=x;y=0;y=e^x;y=C constante;D
1614;SNR señal 100 ruido 10 ¿valor?;Iniciació a la Programació;Facil;Calculo;100;Ninguna de las anteriores;10;1;C
1615;Spread bid 99 ask 101 ¿spread?;Iniciació a la Programació;Facil;Calculo;2;99;Ninguna de las anteriores;101;A
1616;¿Cuál es la solución de dy/dx=1?;Iniciació a la Programació;Facil;Calculo;y=x+C;y=C;y=e^x;y=0;A
1617;32 bits ¿valores posibles?;Iniciació a la Programació;Facil;Calculo;2^32;64;4294967296;32;A
1618;¿Cuál es β₀ de un círculo?;Iniciació a la Programació;Facil;Calculo;3;2;0;1;D
1619;5 % 2 = ?;Iniciació a la Programació;Facil;Calculo;2;2.5;0;1;D
1620;¿Cuántos valores puede tomar un bool?;Iniciació a la Programació;Facil;Calculo;2;0;Infinitos;1;A
1621;5 % 2 = ? (variante);Iniciació a la Programació;Facil;Calculo;2.5;2;1;0;C
1622;¿Cuántos valores puede tomar un bool?;Iniciació a la Programació;Facil;Calculo;2;0;Infinitos;1;A
1623;Suma 1+2+...+10?;Iniciació a la Programació;Facil;Calculo;50;45;55;100;C
1624;¿Cuántos valores puede tomar un bool?;Iniciació a la Programació;Facil;Calculo;2;1;Infinitos;0;A
1625;¿Qué comando sube un nivel de directorio?;Iniciació a la Programació;Media;Calculo;cd ..;cd /;cd -;cd up;A
1626;¿Cuántos valores puede representar 1 bit?;Iniciació a la Programació;Media;Calculo;8;0;2;1;C
1627;¿Qué hace cd sin argumentos en Linux?;Iniciació a la Programació;Media;Calculo;Va al directorio home;Lista;Error;Nada;A
1628;¿Cuántos valores puede tomar un bool?;Iniciació a la Programació;Media;Calculo;1;0;Infinitos;2;D
1629;¿Qué hace grep -r?;Iniciació a la Programació;Media;Calculo;Buscar recursivamente en directorios;Contar;Invertir;Reemplazar;A
1630;¿Qué comando busca archivos por nombre?;Iniciació a la Programació;Media;Calculo;find;grep;search;locate;A
1631;¿Cuál es la solución de y''=0?;Iniciació a la Programació;Media;Calculo;y=0;y=C;y=C1·x+C2;y=x²;C
1632;¿Cuál es el intercepto de y=2x+3?;Iniciació a la Programació;Media;Calculo;0;2;3;5;C
1633;¿Qué hace el comando man?;Iniciació a la Programació;Media;Calculo;Mostrar manual de un comando;Listar;Gestionar;Ejecutar;A
1634;¿Cuántas direcciones con 16 bits?;Iniciació a la Programació;Media;Calculo;4096;256;65536;1024;C
1635;¿Qué comando ejecuta un script bash?;Iniciació a la Programació;Media;Calculo;bash o ./script;run;execute;start;A
1636;Media de 2, 4, 6, 8?;Iniciació a la Programació;Media;Calculo;6;20;5;4;C
1637;15% de 200?;Iniciació a la Programació;Media;Calculo;20;30;25;15;B
1638;¿Qué comando lista archivos incluyendo ocultos?;Iniciació a la Programació;Dificil;Calculo;ls;dir;ls -a;ls -l;C
1639;¿Qué comando muestra el contenido de un archivo?;Iniciació a la Programació;Dificil;Calculo;cat;type;show;ls;A
1640;¿Qué símbolo conecta la salida de un comando con la entrada de otro?;Iniciació a la Programació;Dificil;Calculo;>>;>;|;<;C
1641;¿Qué comando de Git guarda cambios en el historial?;Iniciació a la Programació;Dificil;Calculo;git add;save;git save;git commit;D
1642;¿Cuál es la solución de y'+y=0 con y(0)=1?;Iniciació a la Programació;Dificil;Calculo;y=e^(-x);y=e^x;y=0;y=1;A
1643;¿Qué comando mata un proceso por PID?;Iniciació a la Programació;Dificil;Calculo;stop;terminate;end;kill;D
1644;¿Qué comando cuenta líneas de un archivo?;Iniciació a la Programació;Dificil;Calculo;count;lines;num;wc -l;D
1645;¿Qué orden tiene $match en un pipeline típico?;Iniciació a la Programació;Dificil;Calculo;En medio;No importa;Al final;Al principio para filtrar pronto;D
1646;¿Cuántas direcciones con 32 bits?;Iniciació a la Programació;Dificil;Calculo;2^16;2^24;2^64;2^32;D
1647;¿Cuál es la solución de y''+4y'+4y=0?;Iniciació a la Programació;Dificil;Calculo;y=e^(-2x);y=C;y=(C1+C2·x)·e^(-2x);y=cos(2x);C
1648;¿Cuántas condiciones de contorno en cada extremo para Laplace 1D?;Iniciació a la Programació;Dificil;Calculo;2;Depende;1;0;C
1649;¿Cuántos documentos devuelve findOne?;Iniciació a la Programació;Dificil;Calculo;Todos;Uno o ninguno;1;0;C
1650;¿Qué comando muestra las primeras líneas de un archivo?;Iniciació a la Programació;Dificil;Calculo;tail;head;top;first;B
1651;¿Qué es la regresión lineal?;Intel·ligència Artificial;Facil;Teoria;Una clasificación;Un clustering;Una correlación;Ajustar una recta que explique la relación entre variables;D
1652;¿Qué es un modelo discreto?;Intel·ligència Artificial;Facil;Teoria;El tiempo o las variables cambian en saltos;Continuo;Analógico;Híbrido;A
1653;¿Qué es un modelo estocástico?;Intel·ligència Artificial;Facil;Teoria;Incluye aleatoriedad o incertidumbre;Exacto;Analítico;Determinista;A
1654;¿Qué es la búsqueda en anchura?;Intel·ligència Artificial;Facil;Teoria;Explorar por niveles;Profundidad;A*;Voraz;A
1655;¿Qué es un modelo de colas?;Intel·ligència Artificial;Facil;Teoria;De agentes;De inventario;Modela llegadas y servicios;De flujos;C
1656;¿Qué es un modelo de Markov?;Intel·ligència Artificial;Facil;Teoria;El futuro depende solo del estado actual;De agentes;Determinista;De colas;A
1657;¿Qué es la regresión en ML?;Intel·ligència Artificial;Facil;Teoria;Predecir valores numéricos continuos;Clasificación;Ninguna de las anteriores;Clustering;A
1658;¿Qué es la dinámica de sistemas?;Intel·ligència Artificial;Facil;Teoria;Discreta;De Monte Carlo;De agentes;Modelos continuos con flujos y niveles;D
1659;¿Qué es la regresión múltiple?;Intel·ligència Artificial;Facil;Teoria;Simple;Logística;No lineal;Regresión con varias variables predictoras;D
1660;¿Qué es el análisis de mediación?;Intel·ligència Artificial;Facil;Teoria;ANCOVA;Evalúa si M explica el efecto de X en Y;Moderación;Regresión múltiple;B
1661;¿Qué es el modelo Black-Scholes?;Intel·ligència Artificial;Facil;Teoria;Valoración de opciones europeas;GARCH;Markowitz;CAPM;A
1662;¿Qué es la validación cruzada?;Intel·ligència Artificial;Facil;Teoria;Una normalización;Dividir datos en folds para evaluar el modelo;Un algoritmo;Una métrica;B
1663;¿Qué es un MDP?;Intel·ligència Artificial;Facil;Teoria;Árbol de decisión;Grafo;Red bayesiana;Proceso de decisión de Markov;D
1664;¿Qué es el modelo de memoria distribuida?;Intel·ligència Artificial;Media;Teoria;OpenMP;Compartida;Cada nodo tiene su propia memoria;GPU;C
1665;¿Qué es un modelo basado en agentes?;Intel·ligència Artificial;Media;Teoria;Agentes autónomos interactúan en un entorno;Determinista;De ecuaciones;De eventos;A
1666;¿Qué es la clasificación espectral?;Intel·ligència Artificial;Media;Teoria;O B A F G K M según temperatura;Por masa;Por edad;Por luminosidad;A
1667;¿Qué es el método de los mínimos cuadrados?;Intel·ligència Artificial;Media;Teoria;Para árboles;Para clustering;Minimiza la suma de errores al cuadrado en regresión;Para clasificación;C
1668;¿Qué es la fotometría de apertura?;Intel·ligència Artificial;Media;Teoria;De punto;PSF;Modelo;Sumar flujo dentro de región definida;D
1669;¿Qué es el coeficiente de determinación R²?;Intel·ligència Artificial;Media;Teoria;Proporción de varianza explicada por el modelo;El intercepto;La pendiente;La correlación;A
1670;¿Qué es la causalidad de Granger?;Intel·ligència Artificial;Media;Teoria;Causalidad real;Correlación;Regresión;X ayuda a predecir Y dado el pasado de Y;D
1671;¿Qué es el modelo de datos flexible?;Intel·ligència Artificial;Media;Teoria;Normalizado;Relacional;Esquema sin estructura fija;Rígido;C
1672;¿Qué es el aprendizaje por refuerzo?;Intel·ligència Artificial;Media;Teoria;No supervisado;Supervisado;Semi-supervisado;Aprender por recompensas/penalizaciones;D
1673;¿Qué es el método de mínimos cuadrados?;Intel·ligència Artificial;Media;Teoria;Para correlación;Minimiza la suma de errores al cuadrado en regresión;Para clustering;Para clasificación;B
1674;¿Qué es el credit assignment problem?;Intel·ligència Artificial;Media;Teoria;Exploración;Política;Atribuir recompensa a acciones pasadas;Valor de estado;C
1675;¿Qué es el análisis de componentes principales (PCA)?;Intel·ligència Artificial;Media;Teoria;Reducir dimensiones manteniendo varianza;Clasificación;Regresión;Clustering;A
1676;¿Qué es el análisis de componentes principales en astrofísica?;Intel·ligència Artificial;Dificil;Teoria;Reducir dimensionalidad de datos espectrales;Regresión;Clasificación;Clustering;A
1677;En un modelo de regresion con multicolinealidad severa, que problema afecta a los coeficientes estimados?;Intel·ligència Artificial;Dificil;Teoria;Alta varianza;No normalidad;Inconsistencia;Sesgo;A
1678;En un modelo de regresion con multicolinealidad severa, que problema afecta a los coeficientes estimados?;Intel·ligència Artificial;Dificil;Teoria;Inconsistencia;Alta varianza;No normalidad;Sesgo;B
1679;En un modelo de regresion con multicolinealidad severa, que problema afecta a los coeficientes estimados?;Intel·ligència Artificial;Dificil;Teoria;Sesgo;Inconsistencia;Alta varianza;No normalidad;C
1680;En un modelo de regresion con multicolinealidad severa, que problema afecta a los coeficientes estimados?;Intel·ligència Artificial;Dificil;Teoria;No normalidad;Inconsistencia;Sesgo;Alta varianza;D
1681;¿Qué algoritmo garantiza convergencia a política óptima en MDPs?;Intel·ligència Artificial;Dificil;Teoria;Q-learning sin condiciones;Random;Value iteration;Greedy;C
1682;En un modelo de regresion con multicolinealidad severa, que problema afecta a los coeficientes estimados? (concepto);Intel·ligència Artificial;Dificil;Teoria;Sesgo;No normalidad;Alta varianza;Inconsistencia;C
1683;¿Qué es el problema de exploración-explotación en reinforcement learning?;Intel·ligència Artificial;Dificil;Teoria;Balancear probar nuevas acciones vs explotar conocidas;Credit assignment;Overfitting;Bias-variance;A
1684;¿Qué algoritmo garantiza convergencia a política óptima en MDPs?;Intel·ligència Artificial;Dificil;Teoria;Value iteration;Greedy;Random;Q-learning sin condiciones;A
1685;¿Qué es el problema de exploración-explotación en reinforcement learning? (variante);Intel·ligència Artificial;Dificil;Teoria;Overfitting;Balancear probar nuevas acciones vs explotar conocidas;Bias-variance;Credit assignment;B
1686;¿Qué es el problema de exploración-explotación en reinforcement learning?;Intel·ligència Artificial;Dificil;Teoria;Bias-variance;Balancear probar nuevas acciones vs explotar conocidas;Overfitting;Credit assignment;B
1687;¿Qué es el problema de exploración-explotación en reinforcement learning?;Intel·ligència Artificial;Dificil;Teoria;Bias-variance;Overfitting;Balancear probar nuevas acciones vs explotar conocidas;Credit assignment;C
1688;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.8;1;0.2;0.5;A
1689;Recall si TP=8, FN=2?;Intel·ligència Artificial;Facil;Calculo;1;0.8;0.2;0.5;B
1690;Sigmoid(0)?;Intel·ligència Artificial;Facil;Calculo;1;-1;0;0.5;D
1691;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.2;1;0.8;0.5;C
1692;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;1;0.8;0.2;0.5;B
1693;Recall si TP=8, FN=2?;Intel·ligència Artificial;Facil;Calculo;1;0.5;0.8;0.2;C
1694;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.2;0.5;0.8;1;C
1695;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;1;0.5;0.2;0.8;D
1696;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.2;0.5;1;0.8;D
1697;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.2;0.8;1;0.5;B
1698;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.5;0.2;0.8;1;C
1699;Factorial de 5?;Intel·ligència Artificial;Facil;Calculo;24;120;60;720;B
1700;Precisión si TP=8, FP=2?;Intel·ligència Artificial;Facil;Calculo;0.2;0.8;1;0.5;B
1701;F1 con precisión=1, recall=1?;Intel·ligència Artificial;Media;Calculo;0.5;1;0;2;B
1702;F1 con precisión=1, recall=1?;Intel·ligència Artificial;Media;Calculo;2;0;0.5;1;D
1703;Recall si TP=8, FN=2? (variante);Intel·ligència Artificial;Media;Calculo;0.8;0.2;0.5;1;A
1704;Error 0-1 con 10 aciertos de 100?;Intel·ligència Artificial;Media;Calculo;10;0.9;0.1;0.5;B
1705;Precisión si TP=8, FP=2? (variante);Intel·ligència Artificial;Media;Calculo;1;0.2;0.8;0.5;C
1706;¿Cuál es el centro de (x-2)²+(y-3)²=16?;Intel·ligència Artificial;Media;Calculo;(2,3);(4,6);(0,0);(16,16);A
1707;¿Cuántos niveles en modelo con 2 stocks?;Intel·ligència Artificial;Media;Calculo;4;3;1;2;D
1708;Si AIC modelo A=100 B=95 ¿cuál preferir?;Intel·ligència Artificial;Media;Calculo;Ambos;A;Ninguno;B;D
1709;¿Cuántos parámetros en modelo exponencial?;Intel·ligència Artificial;Media;Calculo;1;3;0;2;A
1710;¿Qué valor tiene i tras for i=0 a 2?;Intel·ligència Artificial;Media;Calculo;2;1;0;3;A
1711;En binomial n=5 p=0.5, E(X)?;Intel·ligència Artificial;Media;Calculo;2.5;2;5;1.25;A
1712;Permutaciones de 3 elementos?;Intel·ligència Artificial;Media;Calculo;3;9;27;6;D
1713;Roca 50% mineral A 50% B ¿clasificación?;Intel·ligència Artificial;Media;Calculo;Mixta;B;Ninguna de las anteriores;A;A
1714;¿Cuántos valores puede representar 4 bits?;Intel·ligència Artificial;Dificil;Calculo;32;4;8;16;D
1715;¿Cuántas salidas en clasificación binaria?;Intel·ligència Artificial;Dificil;Calculo;0;1;Muchas;2;B
1716;Entropía de distribución uniforme 4 clases?;Intel·ligència Artificial;Dificil;Calculo;4;1;0;2;D
1717;¿Cuál es R² si el modelo explica toda la varianza?;Intel·ligència Artificial;Dificil;Calculo;2;1;0.5;0;B
1718;¿Cuál es el número -1 en complemento a dos con 4 bits?;Intel·ligència Artificial;Dificil;Calculo;0111;1111;1001;0001;B
1719;En regresión logística si OR=2.5 ¿cuánto es el log(OR)?;Intel·ligència Artificial;Dificil;Calculo;Ninguna de las anteriores;1.25;0.92;2.5;C
1720;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es:;Intel·ligència Artificial;Dificil;Calculo;Hiperexponencial;Exponencial;Erlang;No tiene forma cerrada simple;B
1721;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es:;Intel·ligència Artificial;Dificil;Calculo;Exponencial;No tiene forma cerrada simple;Hiperexponencial;Erlang;A
1722;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es: (concepto);Intel·ligència Artificial;Dificil;Calculo;Erlang;Exponencial;Hiperexponencial;No tiene forma cerrada simple;B
1723;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es: (concepto);Intel·ligència Artificial;Dificil;Calculo;Exponencial;Erlang;Hiperexponencial;No tiene forma cerrada simple;A
1724;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es:;Intel·ligència Artificial;Dificil;Calculo;Erlang;Exponencial;No tiene forma cerrada simple;Hiperexponencial;B
1725;En un modelo de colas M/M/1 con lambda<mu, la distribucion del tiempo de espera en cola es: (concepto);Intel·ligència Artificial;Dificil;Calculo;Exponencial;Erlang;No tiene forma cerrada simple;Hiperexponencial;A
1726;¿Qué es la conectividad en IoT?;Internet de les Coses;Facil;Teoria;Ancho de banda;Formas en que dispositivos se conectan a la red;Latencia;Throughput;B
1727;¿Qué es un sensor en IoT?;Internet de les Coses;Facil;Teoria;Gateway;Dispositivo que captura datos del entorno;Protocolo;Actuador;B
1728;¿Qué es un actuador en IoT?;Internet de les Coses;Facil;Teoria;Cloud;Gateway;Sensor;Dispositivo que ejecuta acciones físicas;D
1729;¿Qué es un gateway en IoT?;Internet de les Coses;Facil;Teoria;Base de datos;Dispositivo que conecta sensores con la nube;Actuador;Sensor;B
1730;¿Qué es un sensor en IoT?;Internet de les Coses;Facil;Teoria;Gateway;Actuador;Protocolo;Dispositivo que captura datos del entorno;D
1731;¿Qué es un actuador en IoT?;Internet de les Coses;Facil;Teoria;Sensor;Cloud;Gateway;Dispositivo que ejecuta acciones físicas;D
1732;¿Qué es un gateway en IoT?;Internet de les Coses;Facil;Teoria;Base de datos;Actuador;Sensor;Dispositivo que conecta sensores con la nube;D
1733;¿Qué es un sensor en IoT?;Internet de les Coses;Facil;Teoria;Gateway;Dispositivo que captura datos del entorno;Actuador;Protocolo;B
1734;¿Qué es un actuador en IoT?;Internet de les Coses;Facil;Teoria;Gateway;Dispositivo que ejecuta acciones físicas;Sensor;Cloud;B
1735;¿Qué es CoAP? (variante);Internet de les Coses;Facil;Teoria;HTTP;WebSocket;Protocolo REST para dispositivos restringidos;MQTT;C
1736;¿Qué es CoAP? (variante);Internet de les Coses;Facil;Teoria;MQTT;WebSocket;Protocolo REST para dispositivos restringidos;HTTP;C
1737;¿Qué es CoAP? (variante);Internet de les Coses;Facil;Teoria;WebSocket;Protocolo REST para dispositivos restringidos;MQTT;HTTP;B
1738;¿Qué es un gateway en IoT?;Internet de les Coses;Facil;Teoria;Sensor;Actuador;Base de datos;Conecta sensores con la nube;D
1739;¿Qué es el protocolo HTTP en IoT?;Internet de les Coses;Media;Teoria;Zigbee;MQTT;CoAP;Usado pero más pesado que MQTT o CoAP;D
1740;¿Qué es un periférico de entrada?;Internet de les Coses;Media;Teoria;Salida;Almacenamiento;Dispositivo que introduce datos (teclado ratón);Procesamiento;C
1741;¿Qué es la compresión con pérdida?;Internet de les Coses;Media;Teoria;Exacta;Sin pérdida;Reversible;Acepta pérdida para mayor compresión;D
1742;¿Qué es el protocolo Bluetooth Low Energy?;Internet de les Coses;Media;Teoria;Bluetooth clásico;Versión de bajo consumo para IoT;Zigbee;WiFi;B
1743;¿Qué es la calidad de servicio QoS en MQTT?;Internet de les Coses;Media;Teoria;El throughput;La latencia;La velocidad;Niveles de garantía de entrega de mensajes;D
1744;¿Qué es la interoperabilidad en IoT?;Internet de les Coses;Media;Teoria;Que dispositivos de distintos fabricantes trabajen juntos;La seguridad;La conectividad;El protocolo;A
1745;¿Qué es la teoría endosimbiótica?;Internet de les Coses;Media;Teoria;Evolución;Mitocondrias y cloroplastos derivan de bacterias;Adaptación;Creacionista;B
1746;¿Qué es la conectividad en IoT?;Internet de les Coses;Media;Teoria;Ancho de banda;Throughput;Latencia;Formas en que dispositivos se conectan a la red;D
1747;¿Qué es la conectividad en IoT?;Internet de les Coses;Media;Teoria;Formas en que dispositivos se conectan a la red;Latencia;Ancho de banda;Throughput;A
1748;¿Qué es un gateway en IoT?;Internet de les Coses;Media;Teoria;Actuador;Conecta sensores con la nube;Sensor;Base de datos;B
1749;¿Qué es un gateway en IoT?;Internet de les Coses;Media;Teoria;Sensor;Base de datos;Conecta sensores con la nube;Actuador;C
1750;¿Qué es el protocolo MQTT?;Internet de les Coses;Media;Teoria;CoAP;TCP;Protocolo ligero pub/sub para IoT;HTTP;C
1751;¿Qué es CoAP?;Internet de les Coses;Media;Teoria;WebSocket;MQTT;Protocolo REST para dispositivos restringidos;HTTP;C
1752;¿Qué es el elemento de área en una superficie?;Internet de les Coses;Dificil;Teoria;du dv;dx dy;r dr dθ;||r_u × r_v|| du dv;D
1753;¿Qué reto tiene la seguridad en IoT?;Internet de les Coses;Dificil;Teoria;Escalabilidad;Ancho de banda;Dispositivos con recursos limitados;Protocolos;C
1754;¿Cómo se define la conectividad en IoT?;Internet de les Coses;Dificil;Teoria;Throughput;Latencia;Ancho de banda;Formas en que dispositivos se conectan a la red;D
1755;¿De qué concepto se trata cuando: qué reto tiene la seguridad en iot?;Internet de les Coses;Dificil;Teoria;Protocolos;Dispositivos con recursos limitados;Ancho de banda;Escalabilidad;B
1756;¿Qué reto tiene la seguridad en IoT?;Internet de les Coses;Dificil;Teoria;Ancho de banda;Protocolos;Dispositivos con recursos limitados;Escalabilidad;C
1757;¿Qué es el rango de un sensor?;Internet de les Coses;Dificil;Teoria;La resolución;La frecuencia;La precisión;Intervalo de valores que puede medir;D
1758;¿Qué reto tiene la seguridad en IoT? (variante);Internet de les Coses;Dificil;Teoria;Escalabilidad;Dispositivos con recursos limitados;Ancho de banda;Protocolos;B
1759;¿Qué es un gateway en IoT? (variante);Internet de les Coses;Dificil;Teoria;Conecta sensores con la nube;Base de datos;Sensor;Actuador;A
1760;¿Qué reto tiene la seguridad en IoT? (variante);Internet de les Coses;Dificil;Teoria;Escalabilidad;Ancho de banda;Dispositivos con recursos limitados;Protocolos;C
1761;¿Qué reto tiene la seguridad en IoT? (variante);Internet de les Coses;Dificil;Teoria;Dispositivos con recursos limitados;Protocolos;Ancho de banda;Escalabilidad;A
1762;¿Qué es un gateway en IoT? (variante);Internet de les Coses;Dificil;Teoria;Conecta sensores con la nube;Actuador;Base de datos;Sensor;A
1763;¿Qué es el protocolo MQTT? (variante);Internet de les Coses;Dificil;Teoria;TCP;Protocolo ligero pub/sub para IoT;HTTP;CoAP;B
1764;¿Qué es el protocolo MQTT?;Internet de les Coses;Dificil;Teoria;Protocolo ligero pub/sub para IoT;HTTP;CoAP;TCP;A
1765;Latencia 10ms + procesamiento 5ms?;Internet de les Coses;Facil;Calculo;5ms;10ms;15ms;50ms;C
1766;¿Cuántos niveles QoS tiene MQTT?;Internet de les Coses;Facil;Calculo;2;1;4;3;D
1767;Rendimientos 5% -2% 3% ¿media?;Internet de les Coses;Facil;Calculo;6%;1%;2%;3%;C
1768;¿Qué hace la Hadamard sobre |0⟩?;Internet de les Coses;Facil;Calculo;|0⟩;0;|1⟩;Superposición (|0⟩+|1⟩)/raíz(2);D
1769;¿Qué puerto usa MQTT por defecto?;Internet de les Coses;Facil;Calculo;80;443;1883;8080;C
1770;¿Cuántos bytes en dirección IPv4?;Internet de les Coses;Facil;Calculo;16;32;8;4;D
1771;¿Cuántos bytes en dirección IPv4?;Internet de les Coses;Facil;Calculo;8;32;16;4;D
1772;2^10 = ?;Internet de les Coses;Facil;Calculo;1024;512;100;2048;A
1773;Latencia 10ms + procesamiento 5ms?;Internet de les Coses;Facil;Calculo;15ms;10ms;5ms;50ms;A
1774;¿Cuántos canales en RGB?;Internet de les Coses;Facil;Calculo;1;2;3;4;C
1775;Latencia 10ms + procesamiento 5ms?;Internet de les Coses;Facil;Calculo;15ms;50ms;10ms;5ms;A
1776;¿Cuántos canales en RGB?;Internet de les Coses;Facil;Calculo;2;3;4;1;B
1777;Precio 100 sube 10% ¿nuevo precio?;Internet de les Coses;Media;Calculo;90;Ninguna de las anteriores;110;10;C
1778;Para AR(1) con φ=0.9 ¿es estacionario?;Internet de les Coses;Media;Calculo;Sí |φ| menor que 1;No;Depende;Siempre;A
1779;"¿Cuál es la media de 100; 200; 300?";Internet de les Coses;Media;Calculo;300;200;150;250;B
1780;Precio 80 sube 25% ¿nuevo?;Internet de les Coses;Media;Calculo;20;105;100;Ninguna de las anteriores;C
1781;MAPE=10% ¿interpretación?;Internet de les Coses;Media;Calculo;Error medio 10% del valor real;Muy alto;Perfecto;Error bajo;A
1782;¿Cuál es el valor z para IC 99%?;Internet de les Coses;Media;Calculo;1.64;3;2.58;1.96;C
1783;Si d de Cohen = 0.8 ¿tamaño del efecto?;Internet de les Coses;Media;Calculo;Grande;Mediano;Nulo;Pequeño;A
1784;¿Cuántos dispositivos en red con /24?;Internet de les Coses;Media;Calculo;255;254;256;24;B
